InvoiceNo,Date,StoreID,ProductID,Category,Quantity,UnitPrice,Discount,CostPerUnit,CustomerType,PaymentMode
INV39,2025-03-30,S19,P4441,Shoes,2,1103,0.0,857.9838585953426,New,Cash
INV40,2024-08-16,S37,P5099,Shoes,3,2917,30.0,2051.3030919708985,New,Cash
INV41,2025-02-21,S10,P9389,Accessories,1,526,0.0,271.73806776246505,Returning,Digital
INV42,2024-03-13,S04,P7246,Clothing,3,1659,10.0,1241.0333822932753,Returning,Cash
INV43,2025-10-07,S22,P8644,Clothing,4,1631,0.0,902.7751440175383,New,Cash
INV44,2024-12-26,S24,P7995,Shoes,4,2074,10.0,1481.984217605241,Returning,Digital
INV45,2025-03-04,S30,P3467,Shoes,4,2349,10.0,1477.8045991213307,New,Card
INV46,2025-01-10,S24,P9930,Accessories,1,997,10.0,661.1523596681284,Returning,Digital
INV47,2025-01-09,S39,P2838,Clothing,3,960,20.0,678.7272058150735,New,Digital
INV48,2024-04-14,S31,P7310,Accessories,1,2433,10.0,1916.595703555409,,Cash
INV49,2025-11-12,S32,P8676,Shoes,3,834,20.0,456.88549875492873,New,Card
INV50,2024-03-07,S28,P9888,Clothing,1,1511,0.0,956.7102036833409,New,Card
INV51,2024-10-17,S20,P8828,Shoes,4,2551,0.0,1350.865215974447,Returning,Digital
INV52,2025-08-27,S37,P5790,Accessories,1,1369,0.0,712.4580221814176,Returning,Card
INV53,2024-02-05,S46,P2253,Shoes,2,2798,0.0,1604.3603971316713,New,Digital
INV54,2024-04-29,S11,P6046,Shoes,2,1909,0.0,1165.3122456148246,Returning,Card
INV55,2024-05-13,S28,P1387,Accessories,4,1199,10.0,785.5758736376633,Returning,Card
INV56,2025-11-29,S06,P9616,Clothing,1,1209,0.0,939.9854989654228,,Cash
INV57,2025-11-04,S47,P9529,Accessories,3,962,0.0,739.8944321884672,New,Digital
INV58,2024-10-15,S44,P9169,Shoes,3,615,20.0,328.4991701519294,Returning,Digital
INV59,2025-08-08,S46,P7253,Shoes,3,2299,30.0,1353.8183752595771,,Digital
INV60,2025-03-09,S02,P7007,Clothing,3,1809,0.0,1093.7843518453842,,Digital
INV61,2024-01-29,S45,P1612,Shoes,3,2852,10.0,1556.3546861864222,,Digital
INV62,2024-01-13,S34,P1099,Accessories,1,2773,30.0,1879.1764853679722,New,Digital
INV63,2025-10-30,S29,P1000,Shoes,1,1798,0.0,1171.8643274353715,New,Card
INV64,2024-06-11,S01,P6604,Accessories,3,2790,0.0,1822.3963951055825,Returning,Card
INV65,2025-10-14,S11,P6382,Shoes,4,2699,10.0,2061.4163876264656,New,Digital
INV66,2024-12-07,S30,P6641,Clothing,3,2918,0.0,1947.530189348879,New,Card
INV67,2024-08-23,S19,P9717,Shoes,2,2880,10.0,1539.9675935946088,,Card
INV68,2024-08-01,S06,P3544,Clothing,3,1112,10.0,756.2908502957725,New,Digital
INV69,2025-01-31,S06,P3852,Clothing,2,1937,20.0,1270.6443248631142,Returning,Cash
INV70,2024-06-03,S17,P7557,Clothing,2,1607,10.0,961.7750249262286,Returning,Digital
INV71,2025-10-05,S38,P8935,Clothing,2,2871,0.0,2021.7845316647783,New,Cash
INV72,2024-05-25,S34,P3276,Shoes,2,992,10.0,765.731018064582,New,Digital
INV73,2024-01-08,S28,P5591,Shoes,2,1290,,784.8252987752203,Returning,Digital
INV74,2024-03-31,S49,P5517,Clothing,3,2373,10.0,1665.3113474119934,New,Card
INV75,2024-09-21,S30,P5997,Clothing,1,2245,20.0,1775.9443849223287,,Cash
INV76,2025-10-24,S11,P1123,Shoes,3,2803,30.0,1933.841841534389,Returning,Digital
INV77,2025-08-28,S43,P3589,Accessories,2,2076,20.0,1258.7863702765817,New,Card
INV78,2025-01-17,S24,P4877,Shoes,1,1008,,749.8674882460322,New,Digital
INV79,2024-08-04,S44,P2134,Accessories,4,1625,10.0,930.4270807982239,New,Digital
INV80,2024-12-31,S33,P5452,Shoes,4,2667,0.0,2086.219405563214,Returning,Digital
INV81,2025-05-29,S37,P1901,Accessories,1,2809,30.0,1957.9533023780934,New,Cash
INV82,2025-12-20,S25,P4458,Accessories,1,2918,10.0,1510.2414709250081,New,Cash
INV83,2024-03-22,S18,P5057,Clothing,3,2211,0.0,1409.4632025490384,New,Cash
INV84,2024-07-15,S20,P6131,Accessories,4,1750,20.0,1071.745170076393,Returning,Card
INV85,2025-08-24,S27,P8802,Accessories,1,551,20.0,321.9745852848024,Returning,Card
INV86,2025-02-23,S30,P5791,Accessories,1,1883,30.0,999.8531278075948,,Card
INV87,2024-11-07,S30,P7758,Shoes,1,1004,30.0,658.0667239139017,Returning,Cash
INV88,2024-01-04,S12,P8228,Accessories,2,1915,0.0,971.8307442982891,,Cash
INV89,2025-03-24,S18,P4087,Shoes,2,2109,10.0,1180.7844791193963,New,Cash
INV90,2025-12-26,S12,P5845,Shoes,3,1333,20.0,1014.8539030779984,Returning,Cash
INV91,2024-09-14,S20,P5850,Clothing,1,2010,10.0,1162.325413126779,New,Digital
INV92,2024-03-05,S13,P6130,Clothing,2,579,20.0,391.1895513833765,New,Digital
INV93,2024-01-22,S33,P1363,Shoes,3,2231,0.0,1522.8315004989863,New,Digital
INV94,2025-06-24,S13,P3317,Shoes,4,1807,10.0,921.3358134613719,New,Cash
INV95,2025-08-06,S24,P7091,Accessories,4,2783,10.0,1948.9751607187968,New,Digital
INV96,2025-12-23,S17,P8209,Shoes,1,1040,0.0,730.8150140650113,,Card
INV97,2024-01-21,S11,P2186,Clothing,3,1844,10.0,1035.7192896849253,New,Card
INV98,2025-01-08,S40,P4995,Clothing,1,2974,20.0,2357.2734127173217,New,Cash
INV99,2024-09-30,S31,P6323,Shoes,4,2130,20.0,1662.6579050801613,New,Cash
INV100,2025-08-08,S22,P4215,Clothing,4,2484,20.0,1271.8026359764144,Returning,Card
INV101,2024-05-11,S05,P9637,Shoes,4,1297,20.0,997.7338897250837,Returning,Cash
INV102,2024-03-22,S15,P6718,Clothing,4,2922,0.0,1532.330448645502,Returning,Cash
INV103,2025-02-22,S17,P6691,Clothing,3,2419,0.0,1255.6209743986003,Returning,Cash
INV104,2025-12-25,S46,P5199,Shoes,4,575,20.0,412.9506088417148,New,Cash
INV105,2025-11-28,S38,P9926,Accessories,4,1656,30.0,1054.88239633085,Returning,Cash
INV106,2025-10-02,S13,P3547,Clothing,2,765,20.0,479.3075110556243,New,Cash
INV107,2024-10-13,S18,P7979,Accessories,3,928,10.0,513.2784095883909,New,Card
INV108,2025-03-11,S43,P8498,Accessories,3,1935,,1315.9235699502162,New,Card
INV109,2025-07-24,S14,P1769,Shoes,1,614,20.0,373.1481826109618,New,Cash
INV110,2025-04-05,S13,P4313,Clothing,3,2075,0.0,1646.4121780582575,New,Digital
INV111,2024-10-15,S37,P5745,Shoes,3,1589,30.0,861.9561416959598,New,Cash
INV112,2025-07-08,S24,P8820,Accessories,3,2949,0.0,2149.672082172657,Returning,Cash
INV113,2024-05-11,S41,P2903,Clothing,2,2586,0.0,2005.608336833474,New,Card
INV114,2025-06-26,S14,P7119,Clothing,4,2124,30.0,1123.4584884363733,New,Digital
INV115,2025-03-31,S41,P1367,Clothing,1,524,10.0,410.5460130194615,New,Cash
INV116,2024-08-06,S24,P4727,Clothing,1,2756,20.0,1409.87913104158,Returning,Digital
INV117,2025-02-15,S24,P6509,Accessories,2,1861,0.0,1352.9397703738402,New,Card
INV118,2024-09-01,S34,P8651,Clothing,2,2616,20.0,1498.4217739242408,New,Card
INV119,2025-09-03,S45,P4250,Clothing,4,629,,374.6796994981139,New,Digital
INV120,2024-10-28,S04,P7720,Clothing,1,836,20.0,607.0756286150545,Returning,Digital
INV121,2025-01-24,S45,P3251,Clothing,2,2828,20.0,1823.4244706685465,Returning,Card
INV122,2025-04-09,S06,P9993,Shoes,3,710,,462.84450371698176,New,Cash
INV123,2025-01-10,S49,P1945,Clothing,4,1339,30.0,1039.7545491620137,Returning,Cash
INV124,2025-03-18,S18,P3093,Clothing,2,2343,10.0,1613.8888882108458,New,Card
INV125,2025-09-06,S18,P2340,Accessories,2,1856,0.0,1315.2686206391443,New,Card
INV126,2024-06-30,S37,P5594,Shoes,2,2746,,1674.7120705245854,Returning,Digital
INV127,2025-07-09,S02,P2896,Accessories,4,1938,10.0,1523.46704990284,Returning,Card
INV128,2024-11-04,S05,P6312,Shoes,1,2498,20.0,1690.126066818815,New,Digital
INV129,2024-09-30,S10,P1740,Shoes,1,2860,0.0,1850.7802814383242,Returning,Cash
INV130,2025-02-20,S44,P1178,Shoes,3,1073,10.0,617.3651304078946,Returning,Card
INV131,2025-09-24,S30,P6330,Accessories,3,1285,10.0,849.0516400344645,Returning,Cash
INV132,2024-04-19,S15,P5754,Accessories,2,1550,0.0,898.519134606773,Returning,Cash
INV133,2024-12-24,S50,P6778,Clothing,1,1907,0.0,1485.2527543109748,Returning,Digital
INV134,2025-08-29,S28,P1165,Shoes,2,2613,,1346.5380689046804,New,Cash
INV135,2024-01-05,S11,P8579,Shoes,1,1447,30.0,804.0029637455802,New,Cash
INV136,2025-12-27,S28,P3582,Shoes,4,1474,10.0,822.2765454274387,,Card
INV137,2024-05-10,S47,P6074,Shoes,2,2161,,1335.2603601400906,Returning,Digital
INV138,2024-03-30,S29,P8769,Accessories,2,2176,20.0,1153.4443385327138,Returning,Digital
INV139,2025-10-12,S02,P8213,Shoes,1,1797,30.0,1315.607279714414,New,Digital
INV140,2024-12-14,S39,P8075,Accessories,2,1865,20.0,1142.508566607396,Returning,Digital
INV141,2024-03-23,S22,P2537,Accessories,3,589,,348.77746039734126,New,Cash
INV142,2024-09-04,S48,P4781,Clothing,4,554,0.0,322.77567882744273,New,Cash
INV143,2024-06-18,S09,P5926,Clothing,1,2733,0.0,1837.99309666959,New,Digital
INV144,2025-08-27,S08,P2097,Clothing,4,2656,0.0,1640.5997314441581,Returning,Card
INV145,2025-12-19,S46,P4333,Accessories,2,1528,0.0,1054.619604726628,,Card
INV146,2024-08-05,S27,P4794,Clothing,4,1297,0.0,940.7266677490369,New,Digital
INV147,2024-08-29,S32,P2677,Shoes,3,1835,,1357.1784315105886,Returning,Digital
INV148,2025-09-07,S44,P5248,Accessories,2,1881,0.0,1160.3222226951045,Returning,Digital
INV149,2024-03-04,S43,P8391,Clothing,2,2065,20.0,1592.8004300414193,Returning,Digital
INV150,2024-10-15,S26,P7216,Shoes,2,1645,,1225.2703962434528,New,Digital
INV151,2025-06-03,S13,P6549,Shoes,1,546,20.0,322.35440187705217,New,Digital
INV152,2025-10-21,S15,P1101,Clothing,3,2401,0.0,1666.6911056527067,New,Digital
INV153,2024-02-04,S50,P5044,Accessories,3,1023,0.0,563.6176055233992,,Cash
INV154,2025-08-09,S49,P9962,Accessories,4,2070,,1271.3497298110801,New,Digital
INV155,2024-02-21,S05,P5689,Clothing,1,2820,20.0,1527.7067588311627,New,Cash
INV156,2024-09-24,S39,P2588,Accessories,3,1743,20.0,1113.3845139453829,Returning,Card
INV157,2025-05-31,S43,P7331,Shoes,4,1255,,820.2983895453049,Returning,Digital
INV158,2024-03-24,S25,P2339,Clothing,2,2349,,1735.1208344998947,New,Card
INV159,2025-09-25,S02,P4574,Clothing,1,2322,,1560.5765497370837,New,Digital
INV160,2024-01-16,S31,P5352,Accessories,1,1726,20.0,1340.4602128364709,New,Digital
INV161,2025-01-16,S43,P4396,Shoes,4,1290,0.0,858.7944152087236,New,Cash
INV162,2025-12-22,S14,P3441,Accessories,1,698,0.0,378.2627660943216,New,Digital
INV163,2024-06-13,S44,P3469,Shoes,1,2024,20.0,1538.1137041139586,,Digital
INV164,2025-08-17,S27,P4441,Shoes,3,2481,20.0,1832.5582928796111,Returning,Cash
INV165,2024-05-07,S28,P5835,Clothing,4,1607,20.0,1068.2872826278578,New,Digital
INV166,2025-01-17,S42,P5971,Accessories,4,2349,,1720.464643721454,,Card
INV167,2024-10-06,S31,P1810,Shoes,3,1328,,681.7571306174854,,Digital
INV168,2024-03-08,S42,P5363,Accessories,4,2564,10.0,1872.8953359047703,New,Cash
INV169,2025-04-20,S39,P1043,Shoes,4,2000,20.0,1310.2728282564558,New,Digital
INV170,2024-10-15,S41,P5888,Shoes,2,1802,20.0,1105.5648617762713,New,Digital
INV171,2025-10-10,S30,P1139,Shoes,2,1749,,929.78895553317,Returning,Digital
INV172,2024-02-12,S20,P2401,Shoes,2,2875,20.0,2125.1650954351235,,Cash
INV173,2024-09-06,S38,P8162,Shoes,2,2709,10.0,1422.5972325100258,New,Cash
INV174,2024-06-16,S07,P9033,Shoes,2,2357,10.0,1533.7422981217112,Returning,Cash
INV175,2024-03-02,S04,P5562,Accessories,1,1297,,759.9590742743308,Returning,Card
INV176,2025-09-23,S08,P2400,Clothing,4,948,0.0,563.1851699796242,Returning,Cash
INV177,2025-01-21,S06,P1110,Clothing,3,2041,0.0,1108.7808300750255,New,Cash
INV178,2024-10-27,S01,P3461,Shoes,1,1760,,1340.9390222937338,New,Cash
INV179,2024-07-06,S39,P7870,Accessories,2,563,0.0,334.9637953298288,Returning,Card
INV180,2025-02-10,S48,P9964,Shoes,2,2230,,1554.7343762972166,,Digital
INV181,2025-01-09,S06,P1505,Accessories,1,2748,0.0,1482.5629951278383,New,Card
INV182,2024-06-04,S04,P2648,Accessories,2,942,20.0,644.8771181670785,Returning,Card
INV183,2024-05-11,S04,P7347,Accessories,3,2480,,1870.9588524086664,,Card
INV184,2024-01-12,S33,P4877,Accessories,4,2681,20.0,1959.044497531689,Returning,Card
INV185,2024-09-07,S34,P4278,Shoes,4,1295,0.0,874.632558793248,Returning,Digital
INV186,2024-02-02,S36,P5564,Clothing,3,1722,0.0,1290.0240798894877,Returning,Card
INV187,2024-06-06,S27,P9777,Shoes,4,1103,,711.2015316643154,New,Card
INV188,2025-12-12,S08,P7773,Shoes,1,701,0.0,557.2827041200477,New,Card
INV189,2025-09-01,S02,P6442,Shoes,4,1954,,1206.1188315790198,Returning,Digital
INV190,2024-09-24,S08,P2925,Shoes,4,520,20.0,409.90539809390657,New,Cash
INV191,2025-02-11,S12,P3556,Shoes,2,1359,30.0,729.9715030234083,New,Cash
INV192,2024-03-03,S02,P1717,Shoes,2,2354,20.0,1827.0907033471537,New,Card
INV193,2025-08-13,S27,P5621,Accessories,2,1500,20.0,1062.4772498996692,Returning,Digital
INV194,2024-01-18,S05,P6675,Shoes,3,2768,0.0,1649.2460927806046,Returning,Card
INV195,2025-11-29,S27,P4707,Accessories,4,2554,,1893.697867282258,New,Cash
INV196,2025-04-22,S10,P3688,Shoes,4,2988,,1807.9831102639275,Returning,Digital
INV197,2025-07-04,S42,P9144,Shoes,4,2288,0.0,1519.3703179326726,Returning,Digital
INV198,2024-12-11,S40,P1757,Shoes,4,2181,0.0,1330.069854687352,New,Cash
INV199,2025-01-14,S12,P1359,Clothing,4,627,20.0,431.6858314933329,New,Digital
INV200,2024-07-22,S38,P9428,Clothing,4,2710,0.0,1378.6427308855368,Returning,Card
INV201,2025-11-30,S02,P5618,Accessories,4,1517,0.0,1041.829568569292,New,Cash
INV202,2025-05-27,S37,P4797,Accessories,4,2615,,2047.33234344288,New,Cash
INV203,2025-09-15,S14,P1328,Shoes,3,2462,10.0,1736.5706264626763,New,Digital
INV204,2024-08-20,S23,P3583,Shoes,1,2809,0.0,1557.5531919679217,Returning,Digital
INV205,2025-01-25,S01,P4530,Accessories,1,2112,10.0,1585.723268204822,New,Cash
INV206,2025-10-01,S20,P1041,Clothing,3,1297,10.0,665.5097711638314,New,Cash
INV207,2025-05-19,S48,P3981,Shoes,3,2050,,1356.4508089035062,Returning,Card
INV208,2024-12-26,S48,P8334,Clothing,3,2308,0.0,1200.1113004398956,Returning,Cash
INV209,2025-03-02,S20,P5243,Shoes,4,1493,20.0,854.1269301415116,Returning,Card
INV210,2025-09-01,S40,P7334,Clothing,1,2792,10.0,1745.2238783030843,Returning,Digital
INV211,2024-05-14,S34,P1602,Shoes,1,1313,30.0,893.5500341762947,Returning,Digital
INV212,2024-06-03,S38,P6037,Accessories,3,781,20.0,491.54371351505677,New,Card
INV213,2024-01-26,S17,P2375,Shoes,1,1265,10.0,647.3184351558845,Returning,Digital
INV214,2024-06-25,S48,P2301,Shoes,1,1018,0.0,721.625343756539,,Cash
INV215,2025-10-28,S31,P3788,Accessories,1,840,0.0,428.30225302987054,New,Cash
INV216,2024-11-14,S48,P9969,Shoes,1,2523,0.0,1529.3700209950798,New,Digital
INV217,2025-03-01,S12,P4818,Accessories,2,1561,30.0,1153.9815947944564,New,Digital
INV218,2024-12-29,S11,P9185,Clothing,4,580,0.0,339.8213411559801,New,Card
INV219,2025-10-01,S22,P3289,Accessories,3,1063,10.0,635.1421588661401,New,Digital
INV220,2024-12-29,S14,P2229,Accessories,4,2058,20.0,1631.8309653133008,Returning,Digital
INV221,2025-03-28,S16,P6683,Shoes,3,1252,0.0,666.3022674372236,New,Digital
INV222,2024-06-23,S19,P4556,Clothing,2,2133,30.0,1266.590230846714,Returning,Card
INV223,2025-02-01,S47,P5796,Clothing,1,1169,0.0,594.9793156545769,Returning,Card
INV224,2024-03-16,S16,P5768,Clothing,1,2525,20.0,1623.6770331761118,Returning,Digital
INV225,2025-01-06,S22,P3198,Accessories,1,1638,0.0,1031.2074785292655,Returning,Cash
INV226,2025-04-01,S31,P6876,Accessories,4,976,20.0,509.25729948513884,Returning,Digital
INV227,2024-10-26,S19,P2355,Accessories,2,2470,20.0,1857.4523730218411,,Card
INV228,2024-08-20,S07,P8858,Accessories,3,1694,0.0,1328.526800143012,New,Digital
INV229,2024-05-01,S35,P4550,Accessories,4,1015,30.0,677.7911073603248,,Cash
INV230,2025-03-10,S30,P4418,Shoes,2,2378,10.0,1622.5630339250663,New,Digital
INV231,2025-03-03,S20,P6531,Clothing,2,676,0.0,510.90917756312035,New,Card
INV232,2024-01-14,S06,P5264,Clothing,2,1484,30.0,860.1128239863928,New,Card
INV233,2024-01-01,S04,P2348,Accessories,4,2133,0.0,1648.2284552225776,Returning,Digital
INV234,2025-08-02,S43,P7824,Accessories,3,925,20.0,604.5848375270319,Returning,Digital
INV235,2024-11-19,S40,P4762,Clothing,4,1155,20.0,920.4535257485709,New,Card
INV236,2025-12-16,S05,P8775,Accessories,1,581,,313.70772978468443,Returning,Cash
INV237,2025-05-06,S09,P8193,Accessories,2,913,,693.4814196912214,Returning,Cash
INV238,2025-07-15,S38,P2289,Shoes,3,1339,0.0,840.8175005064794,Returning,Card
INV239,2025-01-08,S13,P1681,Clothing,3,2325,,1220.7625855173335,New,Digital
INV240,2024-12-19,S28,P8462,Clothing,2,2942,,2006.8976329789077,Returning,Digital
INV241,2025-03-30,S41,P5190,Clothing,3,2661,30.0,1904.381038061178,New,Card
INV242,2025-11-27,S04,P5599,Clothing,4,1454,30.0,996.1507588816588,New,Cash
INV243,2025-09-24,S48,P1657,Accessories,3,1443,,974.7663639976103,,Card
INV244,2025-05-27,S17,P9603,Accessories,4,1409,10.0,1031.3578730326983,Returning,Digital
INV245,2024-12-16,S43,P1968,Shoes,1,2849,30.0,1750.6994572578508,Returning,Card
INV246,2025-06-14,S48,P3880,Shoes,3,2435,20.0,1871.5110970630064,New,Digital
INV247,2024-12-19,S48,P1297,Shoes,1,2332,0.0,1762.502737208097,Returning,Digital
INV248,2024-05-07,S47,P5640,Shoes,4,2251,20.0,1717.616964956546,New,Card
INV249,2024-08-16,S02,P6349,Shoes,3,1579,0.0,1159.4053119582948,New,Digital
INV250,2024-03-03,S05,P1902,Accessories,2,2799,0.0,2190.0265732270072,,Cash
INV251,2024-04-10,S01,P4328,Clothing,4,800,0.0,598.473868685364,New,Card
INV252,2025-01-24,S18,P2929,Shoes,2,1197,0.0,721.39347555222,New,Cash
INV253,2025-09-25,S25,P4845,Shoes,1,2399,10.0,1718.546281876371,Returning,Card
INV254,2025-04-29,S21,P2660,Shoes,2,2912,0.0,1507.1644867585424,New,Card
INV255,2024-03-09,S17,P2762,Shoes,2,1443,10.0,932.2981339828883,Returning,Cash
INV256,2025-09-17,S14,P7115,Clothing,3,1657,0.0,918.3063949678493,Returning,Card
INV257,2024-01-30,S27,P8452,Accessories,4,2541,20.0,1750.674195313302,New,Card
INV258,2025-01-12,S05,P8962,Accessories,1,1962,10.0,1460.6793390451287,Returning,Cash
INV259,2024-03-11,S02,P3273,Shoes,1,2643,0.0,1894.3703193866174,New,Cash
INV260,2024-12-01,S17,P3050,Shoes,4,777,10.0,458.86485756329,Returning,Digital
INV261,2024-10-15,S09,P6679,Clothing,4,2443,10.0,1770.5158346135797,New,Digital
INV262,2025-10-24,S37,P7570,Shoes,4,2385,0.0,1472.9915387318492,New,Card
INV263,2025-12-29,S49,P1670,Accessories,4,1194,0.0,656.0333622833881,Returning,Cash
INV264,2025-05-31,S44,P5334,Shoes,1,1423,0.0,920.0160890471548,Returning,Digital
INV265,2025-12-12,S08,P9978,Clothing,1,1063,20.0,625.673505092891,New,Cash
INV266,2025-07-30,S27,P5227,Shoes,3,1264,0.0,742.9428651625303,Returning,Cash
INV267,2024-01-03,S19,P8658,Accessories,2,675,20.0,423.9050109672438,,Card
INV268,2025-05-08,S14,P2137,Accessories,2,1804,0.0,925.7383469895663,Returning,Card
INV269,2025-02-01,S39,P2572,Accessories,4,568,20.0,403.9020189099356,New,Cash
INV270,2024-01-09,S04,P8432,Accessories,4,1447,10.0,1032.2644655481386,New,Card
INV271,2024-11-01,S36,P7482,Accessories,3,1695,20.0,1332.91144670811,Returning,Card
INV272,2024-08-13,S11,P3680,Accessories,2,958,0.0,571.7650589737317,,Digital
INV273,2024-07-29,S47,P6331,Shoes,1,2171,0.0,1090.2421243798547,New,Cash
INV274,2025-01-27,S42,P1860,Accessories,1,739,0.0,504.11725936748644,Returning,Card
INV275,2025-03-11,S41,P3741,Clothing,2,865,0.0,604.2276527998446,,Card
INV276,2025-11-12,S42,P7299,Shoes,1,1279,30.0,1013.0862505550315,New,Card
INV277,2025-03-03,S11,P5471,Accessories,3,1440,10.0,769.5020892998616,New,Cash
INV278,2024-07-30,S33,P2128,Accessories,4,914,30.0,475.5445662460099,Returning,Card
INV279,2024-07-02,S46,P2059,Accessories,3,1369,20.0,922.9890949584147,New,Cash
INV280,2024-07-14,S23,P2770,Clothing,1,2685,20.0,1806.1732456895204,Returning,Cash
INV281,2024-01-03,S42,P6016,Accessories,3,1593,0.0,849.4532177977903,New,Cash
INV282,2025-01-03,S12,P2895,Shoes,4,954,0.0,752.3310551104081,Returning,Digital
INV283,2024-06-18,S30,P9958,Accessories,3,781,30.0,425.2639282143201,,Digital
INV284,2024-08-04,S34,P3922,Shoes,3,1297,0.0,908.7232874782889,Returning,Card
INV285,2024-05-09,S17,P5457,Clothing,3,1972,,1392.2458216396549,New,Digital
INV286,2025-03-03,S07,P3947,Shoes,2,628,30.0,351.8694327486826,Returning,Cash
INV287,2024-11-27,S07,P5650,Clothing,4,1156,0.0,855.1750191610363,New,Cash
INV288,2025-01-19,S26,P2612,Clothing,4,1018,0.0,782.29321865738,,Digital
INV289,2024-06-26,S08,P3736,Shoes,1,1518,20.0,1191.7831099713906,Returning,Card
INV290,2025-07-18,S48,P1251,Shoes,4,2952,20.0,1999.2005986473173,,Cash
INV291,2025-10-16,S12,P4893,Accessories,3,1258,20.0,835.7799883377211,New,Cash
INV292,2024-08-06,S24,P7172,Accessories,1,719,20.0,390.79438025917926,,Card
INV293,2024-03-09,S35,P8509,Clothing,1,2373,20.0,1464.3050353454062,Returning,Card
INV294,2024-10-19,S48,P6100,Shoes,4,2973,,1587.0958534027575,New,Digital
INV295,2024-05-07,S03,P9524,Shoes,4,660,0.0,471.84920472242885,New,Digital
INV296,2025-06-13,S11,P9498,Accessories,3,2552,,1905.3174063760284,Returning,Cash
INV297,2025-08-17,S46,P5666,Shoes,1,2910,10.0,2163.9410416317896,New,Cash
INV298,2025-11-26,S03,P6630,Clothing,4,2199,10.0,1248.916296057692,Returning,Card
INV299,2024-07-10,S23,P9628,Accessories,4,2660,,1664.4868058039956,,Card
INV300,2024-08-20,S03,P9489,Accessories,3,1147,10.0,711.5128027818779,Returning,Cash
